,date,press,0_percent,1_percent,2_percent,뉴스개수
66,20210817,일반언론,0.2904761904761905,0.12857142857142856,0.580952380952381,630.0
67,20210818,일반언론,0.3068702290076336,0.1099236641221374,0.583206106870229,655.0
68,20210819,일반언론,0.34416543574593794,0.0827178729689808,0.5731166912850812,677.0
69,20210820,일반언론,0.34534534534534533,0.07957957957957958,0.575075075075075,666.0
70,20210821,일반언론,0.36486486486486486,0.06531531531531531,0.5698198198198198,444.0
71,20210823,일반언론,0.36046511627906974,0.07807308970099668,0.5614617940199336,602.0
72,20210824,일반언론,0.2915451895043732,0.10932944606413994,0.5991253644314869,686.0
73,20210825,일반언론,0.2869692532942899,0.11859443631039532,0.5944363103953147,683.0
74,20210826,일반언론,0.2819767441860465,0.1119186046511628,0.6061046511627907,688.0
75,20210827,일반언론,0.2664756446991404,0.10888252148997135,0.6246418338108882,698.0
