date,Open,High,Low,Close,거래량,거래대금,상장시가총액,Change,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210719,1049.51,1051.45,1046.9,1049.83,1404708503,11490900000000.0,438255000000000.0,-0.204376509,일반언론,0.3237410071942446,0.07284172661870504,0.6034172661870504,1112.0,네이버금융,0.6190476190476191,0.0,0.38095238095238093,21,360.0,81.0,671.0,13.0,0.0,8.0
20210720,1040.99,1049.2,1036.14,1043.64,1645090439,13173200000000.0,435764000000000.0,-0.589619272,일반언론,0.32994186046511625,0.09156976744186046,0.5784883720930233,688.0,네이버금융,0.8,0.1,0.1,20,227.0,63.0,398.0,16.0,2.0,2.0
20210721,1051.73,1051.95,1041.44,1042.03,1322431057,12054400000000.0,435137000000000.0,-0.154267755,일반언론,0.31334332833583206,0.1199400299850075,0.5667166416791605,667.0,네이버금융,0.6666666666666666,0.3333333333333333,0.0,18,209.0,80.0,378.0,12.0,6.0,0.0
20210722,1046.51,1051.94,1046.51,1050.25,1623555413,13719600000000.0,438723000000000.0,0.788844851,일반언론,0.30484330484330485,0.11538461538461539,0.5797720797720798,702.0,네이버금융,0.2777777777777778,0.7222222222222222,0.0,18,214.0,81.0,407.0,5.0,13.0,0.0
20210723,1053.01,1059.18,1053.01,1055.5,1387871291,11490000000000.0,441045000000000.0,0.499880981,일반언론,0.30612244897959184,0.1151603498542274,0.5787172011661808,686.0,네이버금융,0.47368421052631576,0.3684210526315789,0.15789473684210525,19,210.0,79.0,397.0,9.0,7.0,3.0
20210726,1059.91,1060.21,1045.27,1047.63,1267942889,11547900000000.0,437944000000000.0,-0.74561819,일반언론,0.30438842203548083,0.08496732026143791,0.6106442577030813,1071.0,네이버금융,0.5714285714285714,0.19047619047619047,0.23809523809523808,21,326.0,91.0,654.0,12.0,4.0,5.0
20210727,1050.87,1053.46,1045.66,1046.55,1550178367,11787600000000.0,438070000000000.0,-0.103089831,일반언론,0.2966360856269113,0.11773700305810397,0.5856269113149847,654.0,네이버금융,0.5882352941176471,0.4117647058823529,0.0,17,194.0,77.0,383.0,10.0,7.0,0.0
20210728,1043.19,1048.78,1030.04,1035.68,1421011305,11763100000000.0,433790000000000.0,-1.038650805,일반언론,0.279320987654321,0.16666666666666666,0.5540123456790124,648.0,네이버금융,0.7222222222222222,0.05555555555555555,0.2222222222222222,18,181.0,108.0,359.0,13.0,1.0,4.0
20210729,1040.45,1044.79,1039.26,1044.13,1206053845,10242200000000.0,436016000000000.0,0.815889078,일반언론,0.2894356005788712,0.14616497829232997,0.5643994211287988,691.0,네이버금융,0.5263157894736842,0.2631578947368421,0.21052631578947367,19,200.0,101.0,390.0,10.0,5.0,4.0
20210730,1044.28,1044.36,1029.19,1031.14,1339556449,10862100000000.0,431003000000000.0,-1.244097957,일반언론,0.28263988522238165,0.11621233859397417,0.6011477761836442,697.0,네이버금융,0.75,0.1875,0.0625,16,197.0,81.0,419.0,12.0,3.0,1.0
20210802,1033.17,1038.49,1029.26,1037.8,1202119976,9558870000000.0,433576000000000.0,0.645887076,일반언론,0.31841302136317395,0.10986775178026449,0.5717192268565615,983.0,네이버금융,0.47619047619047616,0.2857142857142857,0.23809523809523808,21,313.0,108.0,562.0,10.0,6.0,5.0
20210803,1038.91,1041.76,1029.05,1036.11,1504475073,11502900000000.0,432871000000000.0,-0.162844479,일반언론,0.33169129720853857,0.10837438423645321,0.5599343185550082,609.0,네이버금융,0.45,0.4,0.15,20,202.0,66.0,341.0,9.0,8.0,3.0
20210804,1038.96,1047.93,1035.98,1047.93,1485459389,12036700000000.0,437927000000000.0,1.140805513,일반언론,0.3524451939291737,0.11298482293423272,0.5345699831365935,593.0,네이버금융,0.2777777777777778,0.6666666666666666,0.05555555555555555,18,209.0,67.0,317.0,5.0,12.0,1.0
20210805,1050.45,1060.14,1050.32,1059.54,1374783413,11892700000000.0,442746000000000.0,1.107898428,일반언론,0.29833333333333334,0.14,0.5616666666666666,600.0,네이버금융,0.5882352941176471,0.23529411764705882,0.17647058823529413,17,179.0,84.0,337.0,10.0,4.0,3.0
20210806,1061.32,1062.03,1055.64,1059.8,1346819616,10222600000000.0,442943000000000.0,0.0245389509,일반언론,0.3137254901960784,0.08660130718954248,0.5996732026143791,612.0,네이버금융,0.5333333333333333,0.3333333333333333,0.13333333333333333,15,192.0,53.0,367.0,8.0,5.0,2.0
20210809,1059.29,1061.78,1054.58,1060.0,1352833724,13620300000000.0,443086000000000.0,0.0188714852,일반언론,0.3239299610894942,0.11089494163424124,0.5651750972762646,1028.0,네이버금융,0.15,0.5,0.35,20,333.0,114.0,581.0,3.0,10.0,7.0
20210810,1060.9,1060.9,1048.98,1052.07,1689404454,12998300000000.0,439963000000000.0,-0.748113208,일반언론,0.26519337016574585,0.12569060773480664,0.6091160220994475,724.0,네이버금융,0.875,0.0625,0.0625,16,192.0,91.0,441.0,14.0,1.0,1.0
20210811,1050.48,1057.03,1048.7,1051.92,1308328199,12738100000000.0,440942000000000.0,-0.0142576064,일반언론,0.2986425339366516,0.14027149321266968,0.5610859728506787,663.0,네이버금융,0.6875,0.25,0.0625,16,198.0,93.0,372.0,11.0,4.0,1.0
20210812,1054.16,1058.41,1052.21,1054.09,1089521907,12692300000000.0,441879000000000.0,0.206289452,일반언론,0.3183791606367583,0.08827785817655572,0.5933429811866859,691.0,네이버금융,0.625,0.375,0.0,16,220.0,61.0,410.0,10.0,6.0,0.0
20210813,1054.28,1054.46,1024.48,1040.78,1372315163,13044600000000.0,436625000000000.0,-1.262700528,일반언론,0.31512605042016806,0.11904761904761904,0.5658263305322129,714.0,네이버금융,0.7857142857142857,0.14285714285714285,0.07142857142857142,14,225.0,85.0,404.0,11.0,2.0,1.0
