,date,press,0_percent,1_percent,2_percent,뉴스개수
70,20210821,일반언론,0.3726937269372694,0.06273062730627306,0.5645756457564576,271
71,20210823,일반언론,0.37464788732394366,0.0647887323943662,0.5605633802816902,355
72,20210824,일반언론,0.31794871794871793,0.10512820512820513,0.5769230769230769,390
73,20210825,일반언론,0.31266149870801035,0.10077519379844961,0.58656330749354,387
74,20210826,일반언론,0.315136476426799,0.08436724565756824,0.6004962779156328,403
75,20210827,일반언론,0.2624113475177305,0.0851063829787234,0.6524822695035462,423
76,20210828,일반언론,0.37906137184115524,0.07220216606498195,0.5487364620938628,277
77,20210830,일반언론,0.3147632311977716,0.0807799442896936,0.6044568245125348,359
78,20210831,일반언론,0.25783132530120484,0.0963855421686747,0.6457831325301204,415
79,20210901,일반언론,0.33676092544987146,0.11311053984575835,0.5501285347043702,389
