date,Close,Open,High,Low,Change,Change value,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210802,1150.18,1151.9,1154.6,1148.52,-0.0011,-1.2300000000000182,일반언론,0.31841302136317395,0.10986775178026449,0.5717192268565615,983.0,네이버금융,0.47619047619047616,0.2857142857142857,0.23809523809523808,21.0,313.0,108.0,562.0,10.0,6.0,5.0
20210803,1148.44,1150.35,1153.91,1146.59,-0.0015,-1.740000000000009,일반언론,0.33169129720853857,0.10837438423645321,0.5599343185550082,609.0,네이버금융,0.45,0.4,0.15,20.0,202.0,66.0,341.0,9.0,8.0,3.0
20210804,1144.76,1148.63,1149.72,1140.02,-0.0032,-3.680000000000064,일반언론,0.3524451939291737,0.11298482293423272,0.5345699831365935,593.0,네이버금융,0.2777777777777778,0.6666666666666666,0.05555555555555555,18.0,209.0,67.0,317.0,5.0,12.0,1.0
20210805,1142.59,1144.94,1146.84,1140.62,-0.0019,-2.1700000000000728,일반언론,0.29833333333333334,0.14,0.5616666666666666,600.0,네이버금융,0.5882352941176471,0.23529411764705882,0.17647058823529413,17.0,179.0,84.0,337.0,10.0,4.0,3.0
20210806,1144.93,1142.94,1148.29,1140.15,0.002,2.340000000000145,일반언론,0.3137254901960784,0.08660130718954248,0.5996732026143791,612.0,네이버금융,0.5333333333333333,0.3333333333333333,0.13333333333333333,15.0,192.0,53.0,367.0,8.0,5.0,2.0
20210809,1146.89,1145.93,1148.86,1142.35,0.0017,1.9600000000000364,일반언론,0.3239299610894942,0.11089494163424124,0.5651750972762646,1028.0,네이버금융,0.15,0.5,0.35,20.0,333.0,114.0,581.0,3.0,10.0,7.0
20210810,1152.7,1147.07,1154.29,1145.78,0.0051,5.809999999999945,일반언론,0.26519337016574585,0.12569060773480664,0.6091160220994475,724.0,네이버금융,0.875,0.0625,0.0625,16.0,192.0,91.0,441.0,14.0,1.0,1.0
20210811,1153.98,1152.9,1159.69,1151.89,0.0011,1.2799999999999727,일반언론,0.2986425339366516,0.14027149321266968,0.5610859728506787,663.0,네이버금융,0.6875,0.25,0.0625,16.0,198.0,93.0,372.0,11.0,4.0,1.0
20210812,1162.98,1154.16,1166.15,1152.96,0.0078,9.0,일반언론,0.3183791606367583,0.08827785817655572,0.5933429811866859,691.0,네이버금융,0.625,0.375,0.0,16.0,220.0,61.0,410.0,10.0,6.0,0.0
20210813,1161.37,1163.16,1171.15,1160.38,-0.0014,-1.610000000000127,일반언론,0.31512605042016806,0.11904761904761904,0.5658263305322129,714.0,네이버금융,0.7857142857142857,0.14285714285714285,0.07142857142857142,14.0,225.0,85.0,404.0,11.0,2.0,1.0
