Date,Close,Open,High,Low,Change,Change value
2021-09-13,1172.83,1170.38,1177.53,1170.02,0.0022,2.599999999999909
2021-09-14,1172.23,1173.44,1175.2,1166.38,-0.0005,-0.599999999999909
2021-09-15,1166.23,1172.41,1174.7,1164.77,-0.0051,-6.0
2021-09-16,1175.19,1166.39,1176.94,1165.2,0.0077,8.960000000000036
2021-09-17,1180.69,1175.36,1182.81,1174.23,0.004699999999999999,5.5
2021-09-20,1185.67,1181.56,1192.41,1181.47,0.0042,4.980000000000018
2021-09-21,1183.96,1187.39,1188.61,1182.66,-0.0014000000000000002,-1.7100000000000364
2021-09-22,1181.75,1184.41,1185.53,1178.25,-0.0019,-2.2100000000000364
2021-09-23,1174.63,1181.99,1186.62,1170.36,-0.006,-7.119999999999891
2021-09-24,1179.68,1174.83,1182.05,1171.81,0.0043,5.0499999999999545
2021-09-27,1177.94,1179.95,1182.46,1173.98,-0.0015,-1.740000000000009
2021-09-28,1187.16,1177.09,1188.67,1176.37,0.0078000000000000005,9.220000000000027
2021-09-29,1187.11,1188.04,1189.26,1181.2,-0.0,-0.0500000000001819
2021-09-30,1184.23,1187.93,1189.38,1180.22,-0.0024,-2.8799999999998818
2021-10-01,1180.35,1184.78,1189.05,1179.2,-0.0033,-3.880000000000109
2021-10-04,1184.12,1179.9,1185.97,1178.41,0.0032,3.769999999999982
2021-10-05,1186.48,1184.45,1189.12,1183.83,0.002,2.3600000000001273
2021-10-06,1190.21,1186.69,1197.94,1185.9,0.0031,3.730000000000018
2021-10-07,1190.88,1190.74,1192.08,1188.15,0.0006,0.6700000000000728
2021-10-08,1196.79,1191.33,1197.61,1190.35,0.005,5.9099999999998545
2021-10-11,1195.3,1196.54,1196.99,1191.89,-0.0012,-1.490000000000009
2021-10-12,1197.29,1195.75,1200.9,1195.38,0.0017000000000000001,1.990000000000009
2021-10-13,1186.18,1197.92,1199.49,1186.3,-0.009300000000000001,-11.1099999999999
2021-10-14,1181.69,1186.87,1190.94,1181.76,-0.0038,-4.490000000000009
2021-10-15,1182.07,1182.23,1185.31,1180.87,0.0003,0.37999999999988177
2021-10-18,1185.47,1182.49,1188.85,1182.39,0.0029,3.400000000000091
2021-10-19,1175.13,1185.89,1186.04,1173.73,-0.0087,-10.339999999999918
2021-10-20,1175.63,1175.61,1179.26,1172.01,0.0004,0.5
2021-10-21,1177.78,1175.81,1180.03,1172.98,0.0018,2.1499999999998636
2021-10-22,1177.48,1177.86,1181.7,1173.64,-0.0003,-0.2999999999999545
2021-10-25,1168.02,1177.44,1178.96,1166.96,-0.008,-9.460000000000036
2021-10-26,1167.95,1168.13,1170.47,1163.75,-0.0001,-0.06999999999993634
2021-10-27,1172.05,1168.06,1174.09,1165.45,0.0034999999999999996,4.099999999999909
2021-10-28,1168.44,1172.17,1174.7,1166.06,-0.0031,-3.6099999999999
2021-10-29,1174.47,1168.45,1177.07,1167.81,0.0052,6.029999999999973
2021-11-01,1177.45,1174.61,1179.89,1173.28,0.0025,2.980000000000018
2021-11-02,1178.48,1177.56,1179.91,1174.03,0.0009,1.0299999999999727
2021-11-03,1178.78,1178.59,1185.94,1177.99,0.0003,0.2999999999999545
2021-11-04,1185.75,1178.89,1188.81,1176.94,0.0059,6.970000000000027
2021-11-05,1181.05,1185.97,1188.43,1181.21,-0.004,-4.7000000000000455
2021-11-08,1180.84,1181.51,1186.74,1178.93,-0.0002,-0.21000000000003638
2021-11-09,1178.4,1180.95,1182.1,1173.36,-0.0021,-2.439999999999827
2021-11-10,1185.04,1178.51,1186.15,1176.82,0.005600000000000001,6.639999999999873
2021-11-11,1182.39,1185.15,1187.3,1178.17,-0.0022,-2.6499999999998636
2021-11-12,1179.2,1182.45,1184.1,1176.31,-0.0027,-3.1900000000000546
2021-11-15,1183.42,1179.94,1184.78,1177.17,0.0036,4.220000000000027
2021-11-16,1183.85,1183.56,1185.8,1175.3,0.0004,0.4299999999998363
2021-11-17,1180.46,1183.99,1186.96,1179.58,-0.0029,-3.3899999999998727
2021-11-18,1182.37,1180.58,1187.76,1177.92,0.0016,1.9099999999998545
2021-11-19,1187.1,1182.99,1187.67,1181.16,0.004,4.730000000000018
2021-11-22,1190.08,1188.77,1191.36,1184.81,0.0025,2.980000000000018
2021-11-23,1189.08,1190.57,1192.47,1187.06,-0.0008,-1.0
2021-11-24,1188.77,1190.07,1190.79,1185.02,-0.0003,-0.30999999999994543
2021-11-25,1190.16,1188.81,1192.28,1187.82,0.0012,1.3900000000001
2021-11-26,1194.43,1190.24,1196.26,1189.74,0.0036,4.269999999999982
2021-11-29,1190.69,1195.8,1196.0,1189.9,-0.0031,-3.740000000000009
2021-11-30,1182.71,1190.96,1191.73,1182.26,-0.0067,-7.980000000000018
2021-12-01,1176.93,1182.84,1185.49,1173.33,-0.0049,-5.779999999999973
2021-12-02,1176.74,1177.06,1179.35,1173.32,-0.0002,-0.19000000000005457
2021-12-03,1181.0,1176.85,1183.63,1175.83,0.0036,4.259999999999991
2021-12-06,1180.54,1184.85,1186.49,1179.7,-0.0004,-0.4600000000000364
2021-12-07,1176.73,1180.66,1184.03,1176.56,-0.0032,-3.8099999999999454
2021-12-08,1175.19,1176.85,1179.31,1175.12,-0.0013,-1.5399999999999636
2021-12-09,1178.15,1173.42,1179.37,1172.62,0.0025,2.9600000000000364
2021-12-10,1180.86,1178.27,1182.82,1176.4,0.0023,2.709999999999809
2021-12-13,1184.91,1180.96,1186.16,1177.03,0.0034000000000000002,4.050000000000182
2021-12-14,1185.19,1185.1,1186.38,1180.97,0.0002,0.2799999999999727
2021-12-15,1184.57,1185.24,1190.22,1183.93,-0.0005,-0.6200000000001182
2021-12-16,1186.29,1185.41,1188.86,1181.63,0.0015,1.7200000000000273
2021-12-17,1187.7,1186.39,1188.63,1180.03,0.0012,1.4100000000000819
2021-12-20,1189.53,1188.1,1192.67,1186.79,0.0015,1.8299999999999272
2021-12-21,1190.67,1189.95,1193.81,1189.0,0.001,1.1400000000001
2021-12-22,1190.21,1190.43,1192.98,1189.5,-0.0004,-0.4600000000000364
2021-12-23,1185.55,1187.94,1190.76,1184.89,-0.0039000000000000003,-4.660000000000082
2021-12-24,1185.99,1185.64,1188.4,1184.69,0.0004,0.44000000000005457
2021-12-27,1185.61,1187.1,1188.63,1185.02,-0.0003,-0.38000000000010914
2021-12-28,1188.09,1186.59,1189.39,1185.31,0.0021,2.480000000000018
2021-12-29,1184.7,1188.14,1188.59,1184.06,-0.0029,-3.3899999999998727
2021-12-30,1189.36,1184.79,1190.72,1182.75,0.0039000000000000003,4.6599999999998545
2021-12-31,1187.96,1190.22,1191.31,1186.67,-0.0012,-1.3999999999998636
2022-01-03,1193.0,1189.8,1193.86,1187.55,0.0042,5.039999999999964
2022-01-04,1197.49,1194.77,1199.49,1192.75,0.0038,4.490000000000009
2022-01-05,1198.2,1197.54,1200.18,1195.91,0.0006,0.7100000000000364
